Z Left,Z Right
0.59729,-0.501718
-0.928589,-0.501718
0.444702,0.413809
-1.081177,-0.043954
-1.386353,-0.501718
0.59729,-0.959482
0.59729,-2.180185
-0.16565,-1.264658
0.139526,-1.875009
-1.538941,-2.027597
-1.691529,-1.875009
-0.318238,-2.027597
-1.081177,-1.722421
-1.691529,-2.637949
-0.318238,-1.264658
-1.081177,-0.806894
-0.318238,-1.11207
1.360229,-0.043955
-0.16565,-0.959482
-0.776001,-0.34913
0.292114,-0.806894
-1.233765,-1.417246
-2.30188,-1.11207
-1.691529,-1.875009
-1.081177,-2.027597
-0.013062,-1.569833
1.665405,-1.875009
-0.013062,-1.264658
-1.233765,-1.11207
-0.928589,-0.959482
-1.691529,-1.417246
-1.081177,-0.501718
1.512817,-1.264658
0.902466,-1.264658
0.59729,-0.959482
0.749878,-0.959482
-1.996704,-0.34913
-2.149292,-0.806894
0.139526,-0.196542
-1.538941,-0.043954
0.139526,-0.806894
1.970581,-0.34913
-0.470825,-1.569833
0.59729,-0.959482
0.749878,-0.959482
-1.233765,-1.264658
0.139526,-0.501718
0.749878,-0.806894
-1.996704,-1.417246
0.749878,-1.11207
-0.318238,-1.11207
-0.928589,-1.11207
0.749878,-1.417246
-0.623413,-0.196542
-1.844116,-0.806894
0.59729,-0.501718
-0.776001,-0.043955
-1.081177,-0.196542
1.512817,-0.959482
