Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
335.59,338.63,359.28,318.68,392.9,398.98,340.53,340.63
335.6,339.06,358.84,318.98,392.76,398.97,340.87,341.11
335.63,339.17,359.3,319.66,393.58,399.33,340.46,341.19
335.6,339.6,358.94,319.44,392.56,399.76,340.7,340.52
335.54,338.9,358.64,319.6,392.66,399.05,340.59,340.73
335.63,339.2,358.69,319.72,392.21,399.43,340.89,341.09
335.51,339.25,358.44,319.79,391.92,400.13,340.59,340.98
335.22,339.44,358.32,320.39,391.76,400.1,340.62,340.89
335.95,339.36,358.02,320.64,391.49,400.46,340.5,341.11
335.96,339.3,358.26,320.48,391.26,400.59,340.93,340.22
335.58,340.01,358.16,320.34,390.72,400.69,340.6,340.96
335.84,339.36,357.8,319.58,390.51,400.34,340.61,341.04
335.79,339.44,357.72,320.39,390.59,400.64,340.29,340.76
336.44,339.25,357.45,320.94,389.9,400.88,340.75,340.68
336.22,340.15,357.79,320.69,389.77,401.31,340.34,340.71
336.31,339.74,357.35,320.69,389.07,401.09,340.8,341.23
335.82,340.14,357.7,321.24,389.66,400.9,340.55,341.28
336.06,340.15,357.14,320.75,389.25,401.49,340.55,340.85
335.95,340.67,357.3,321.13,389.34,401.17,340.53,340.64
336.31,340.04,356.77,320.94,389.42,400.76,340.61,340.88
335.71,340.31,356.55,321.73,389.34,401.16,340.49,340.42
336.56,340.09,357.21,321.21,389.01,401.52,340.12,340.85
336.05,340.48,356.57,321.35,389.21,400.94,340.23,340.79
335.92,340.34,356.84,321.57,389.29,401.16,339.83,340.93
335.68,340.4,356.33,322.19,389.7,400.43,340.25,340.91
336.24,340.17,356.82,322.02,389.29,400.89,340.63,340.88
336.19,340.31,356.82,321.89,390.04,400.97,340.79,340.22
336.22,340.34,356.84,322.57,390.02,400.67,340.66,340.44
335.81,340.29,356.85,322.9,390.43,400.59,340.9,340.47
335.71,340.62,357.22,322.6,390.49,400.17,341,340.23
336.06,340.51,356.5,322.87,390.76,400.01,340.98,340.56
336.24,340.37,357,322.81,390.79,400.22,340.95,340.28
335.9,340.1,356.98,322.83,391.08,399.04,341.27,340.39
335.74,340.29,356.55,322.97,391.37,399.54,340.97,340.18
335.4,340.31,357.17,323.21,391.76,399.33,341.22,339.96
335.07,340.26,357.09,323.11,391.7,398.56,341.3,340.02
334.85,340.04,357.33,323.24,391.7,398.43,341.59,340.18
335.2,340.77,357.44,323.79,391.97,398.23,341.38,339.88
334.98,340.56,357.14,323.54,391.95,398.07,341.75,339.88
335.09,340.59,357.82,323.78,391.76,396.79,341.24,339.63
335.09,340.31,357.47,323.92,391.71,396.74,341.37,339.72
334.88,340.29,357.72,324.25,391.55,396.58,342.12,339.61
334.63,340.54,357.5,323.97,391.41,396.49,341.94,339.86
334.96,340.29,357.85,324.52,391.23,396.14,341.93,339.45
334.74,340.24,358.2,324.65,391.18,395.46,341.71,339.67
334.2,340.18,357.37,325.06,391.09,395.51,342.22,339.62
334.21,340.13,357.4,324.68,390.91,394.97,342.31,339.07
334.01,340.54,357.59,324.76,390.48,394.45,342.04,339.09
334.04,340.4,357.94,325.52,389.94,393.97,342.28,338.94
334.29,340.4,357.65,325.22,390.58,393.55,342.6,338.82
333.67,340.81,357.51,324.86,389.97,393.31,342.92,339.04
333.67,340.32,357.57,325.9,389.7,392.74,342.77,338.66
333.94,340.21,357.43,325.52,389.81,391.71,342.67,338.56
333.64,340.35,357.41,325.79,389.3,391.81,343.08,338.72
333.32,340.03,356.96,325.49,389.11,391.87,343.3,338.31
333.62,339.97,356.96,325.6,389,390.75,343.24,338.48
332.92,340,356.42,325.95,388.68,390.62,343.08,338.01
333.35,339.92,356.31,325.79,388.78,390.95,343.55,337.99
332.68,340.21,356.21,325.98,388.23,390.67,343.37,338.54
332.49,339.81,355.89,326.19,388.95,390.21,343.39,337.64
332.73,339.62,355.66,326.35,388.41,390.15,344,337.45
332.08,339.87,355.44,326.65,388.11,389.91,344.12,337.96
332.78,339.68,355.68,326.49,388.14,389.8,343.77,337.45
332.26,339.73,354.9,326.05,388.15,389.86,344.09,337.09
332.05,339.35,355.18,326.38,387.72,390.02,343.74,337.64
332.29,340.03,354.72,326.11,388.09,390.04,344.09,336.97
331.95,339.92,354.82,326.21,387.59,389.67,344.15,337.65
332.02,339.81,354.4,325.94,387.59,389.45,343.66,337.4
331.59,340.09,354.22,326.56,387.67,389.48,343.71,337.42
331.84,339.6,353.95,326.11,387.73,388.99,343.95,337.35
331.94,340.09,353.58,326.13,387.91,388.93,343.98,337.37
331.54,339.79,353.61,326.51,387.78,388.55,344.3,337.1
331.7,340,353.42,326.45,387.93,388.39,344.51,337.11
331.67,339.68,353.2,325.77,388.26,387.95,344.74,336.86
331.7,340,353.23,326.14,387.97,388.54,344.43,336.78
331.86,339.7,352.72,326.77,388.32,387.93,344.52,336.89
331.67,339.44,352.43,325.75,388.45,387.6,344.8,336.97
331.48,339.65,352.41,326.32,388.83,388.17,344.46,336.99
332.07,339.66,351.99,326.14,389.15,387.76,344.46,336.97
331.64,339.96,351.78,326.02,389.37,387.27,344.45,336.6
332.29,339.66,351.65,325.69,389.53,386.97,344.43,336.54
332.12,339.36,351.57,325.58,389.85,386.6,344.51,336.73
332.66,339.61,350.39,325.47,390.47,385.67,344.88,336.54
332.45,340.15,350.14,325.01,389.88,385.97,344.91,336.38
332.5,339.58,349.94,324.93,389.91,386,344.78,336.6
332.39,339.31,350.12,324.87,390.89,386,345.56,336.85
332.39,339.26,350.04,324.92,390.7,385.08,345.5,336.52
332.31,339.23,349.62,325.04,391.08,384.89,345.68,336.6
333.03,339.28,348.92,324.46,391.42,384.94,345.21,336.71
333.06,339.09,349.08,325.03,391.34,384.72,346.14,336.87
332.36,338.58,348.41,324.57,391.21,384.04,346.12,336.82
333.05,339.32,348.58,324.6,391.83,383.69,346.35,336.96
332.89,338.88,347.64,323.67,392.21,383.82,346.43,336.39
333.06,338.93,347.5,324.22,391.84,384.12,346.92,337.26
332.9,339.36,347.1,324.11,391.41,383.54,346.38,336.77
333.3,339.55,346.75,323.48,391.92,383.33,346.65,336.45
332.84,339.31,346.17,323.1,391.66,383.02,347.27,336.58
333.3,339.52,345.9,323.29,392.15,383.05,347.1,336.64
333,339.64,345.42,322.88,391.37,382.7,347.07,336.61
333.92,339.61,345.29,322.67,391.65,382.94,347.45,337.01
333.52,339.88,345.55,322.66,392.18,382.23,347.64,336.77
333.48,340.47,344.84,322.66,391.99,382.61,347.71,336.39
333.56,340.07,344.03,322.14,392.07,382.53,347.48,336.45
333.43,339.72,343.9,322.03,391.82,382.66,347.7,336.91
333.87,339.8,343.26,321.77,392.1,382.41,347.87,336.62
334.1,340.37,342.93,321.31,392.11,382.52,348.25,337.02
334.21,340.1,343.04,320.92,392.19,382.68,347.9,337.19
334.48,340.5,342.32,320.92,392.33,381.98,347.9,337.08
335.02,339.96,342.13,320.24,392.01,381.73,347.98,337
334.41,340.39,342.03,320.22,392.07,381.38,348.33,336.57
335.05,340.8,341.32,320.79,392.34,382.05,348.41,336.75
335.26,340.8,341.25,320.05,392.16,381.62,348.49,337.16
335.04,340.53,340.66,320.19,391.73,381.75,348.84,336.13
334.59,340.1,340.48,320.35,392.05,381.5,348.55,337.08
335.13,340.46,339.78,319.86,392,380.99,348.81,336.73
335.07,340.61,339.75,319.51,392.17,381.37,348.98,336.87
335.28,340.54,339.48,319.24,392.17,380.58,348.95,336.35
335.39,340.59,339.4,319.34,392.87,380.93,348.74,336.3
335.52,340.53,338.89,319.12,391.92,380.25,348.86,336.79
335.59,340.75,339.22,319.18,392.25,379.76,348.79,336.59
335.64,340.51,339.11,319.73,392.27,379.6,348.75,336.05
335.26,340.94,338.76,319.18,392.66,379.52,348.97,336.62
335.71,340.66,338.53,318.94,391.88,379.27,349.35,336.13
335.56,340.12,338.21,318.75,391.85,378.94,348.99,336.7
335.63,340.36,338.31,318.91,392.58,378.86,349.34,336.13
335.66,340.55,337.72,318.61,392.93,378.81,349.42,335.84
335.39,340.25,337.72,318.69,392.69,378.23,349.71,336.35
334.96,340.85,337.7,319.12,392.75,377.85,349.52,335.78
335.32,340.65,337.77,318.94,392.99,377.72,349.82,335.89
335.66,340.41,337.92,318.72,392.55,377.63,349.77,335.97
335.74,340.74,337.6,319.15,392.74,377.6,349.95,335.78
335.23,340.71,337.84,319.15,392.8,376.6,350.09,335.33
336.04,340.25,337.57,318.64,392.87,376.86,350.25,335.19
335.5,340.36,337.33,318.93,393.02,376.81,350.13,334.73
335.58,340.01,337.06,319.01,393.15,376.23,350.27,334.97
335.98,340.44,337.11,319.09,393.07,375.8,350.01,334.52
335.79,339.82,337.14,318.71,393.07,375.18,350.54,334.7
335.32,340.63,337.22,319.23,392.91,375.47,350.43,334.48
335.59,339.76,337.36,319.47,392.96,374.87,351.43,334.32
335.99,340.52,336.76,319.58,393.28,374.84,351.18,334.38
335.83,339.92,336.66,319.58,393.39,375.03,351.26,334.32
335.8,339.87,336.9,319.47,392.88,374.89,351.61,333.68
335.43,340.33,336.96,319.93,393.2,374.59,351.58,333.95
335.47,339.95,337.12,319.61,392.85,373.91,351.78,334.14
335.71,339.86,336.5,319.66,392.93,373.89,351.68,333.54
335.96,339.86,336.39,320.1,392.62,374.29,352.17,333.81
335.78,339.89,336.35,319.61,392.86,373.42,352.22,333.38
335.74,340.1,336.56,320.13,392.34,373.06,352.42,333.45
335.45,339.81,336.05,320.04,392.43,373.11,353.11,333.38
335.48,339.84,335.72,320.51,392.64,372.3,353.36,332.78
335.71,339.73,335.86,320.31,392.59,372.51,353.05,332.7
335.72,339.16,336.1,320.42,392.53,372.02,353.38,332.72
335.74,339.35,335.64,319.96,392.67,371.78,353.59,332.37
335.36,339.84,336.02,320.5,392.59,371.56,353.67,332.45
335.53,339.29,335.23,320.75,392.33,371.29,353.61,332.26
335.2,339.35,335.22,320.58,392.45,371.23,353.51,332.24
335.5,338.89,335.11,320.85,392.19,370.75,354.48,332.14
336.14,338.67,334.87,320.91,392.66,370.39,354.18,331.91
335.56,338.51,334.9,320.88,392.48,369.92,355.23,331.85
335.98,338.54,334.87,321.02,392.07,370.01,354.77,331.73
335.9,338.24,334.39,321.23,392.18,369.76,355.88,331.83
335.69,338.78,333.95,321.12,391.89,369.59,355.36,331.27
336.18,338.29,334.04,321.1,391.99,368.75,355.47,331.18
336.04,338.02,334.09,321.18,392.37,368.91,356.3,331.56
335.99,338.23,333.99,321.81,392.37,368.46,355.77,331.37
336.2,338.64,333.44,321.56,392.1,368.1,356.39,331.78
336.03,338.7,333.02,321.86,392.52,367.88,356.77,331.45
336.31,338.45,333.36,321.94,392.31,367.89,356.79,330.84
335.69,338.17,333.17,321.5,392.45,366.98,356.98,331.24
336.04,338.39,333.07,322.02,392.47,366.36,356.55,330.83
336.22,338.44,332.82,321.94,392.87,366.84,356.87,330.48
336.39,338.22,332.45,322.24,392.41,366.25,356.81,330.29
335.99,338.78,331.96,322.56,392.39,366.38,357.16,330.45
336.61,338.69,332.28,322.43,392.12,366.09,357.35,330.48
336.52,338.55,331.88,322.65,392.93,366.16,357.32,330.45
336.52,337.82,332.02,322.81,392.82,364.81,357.19,330.51
336.48,338.14,331.34,323,392.56,364.86,357.38,330.05
336.5,338.26,331.78,323.29,393.06,364.26,357.28,329.85
336.77,338.01,332.28,323.15,392.96,364.39,357.03,330.78
337.18,338.18,331.67,322.61,393.39,363.64,357.05,330.2
336.45,338.39,331.67,323.73,393.24,363.42,357.46,329.69
336.31,338.48,331.36,324.19,393.26,363.12,356.95,329.97
336.53,337.96,331.68,323.71,392.91,362.44,357.35,329.83
337.3,338.21,331.7,323.73,393.01,362.24,357.33,329.74
336.5,337.91,331.71,324.03,393.01,361.81,356.92,329.53
337.23,338.42,331.9,324,393.2,361.29,357.05,329.42
336.95,337.91,331.96,323.97,392.85,361.26,357.2,329.67
337.22,337.5,331.47,324.98,392.37,361.38,356.74,329.77
336.95,337.2,331.97,324.68,392.9,360.88,357.04,329.55
336.76,337.58,331.82,324.33,392.27,359.6,356.44,329.2
337.27,337.47,332.17,324.9,392.72,359.71,356.52,328.69
337.2,337.33,332.16,325.03,392.64,359.12,356.29,329.37
337.03,337.69,332.3,325.19,392.1,358.95,356.63,328.98
337.1,337.85,332.62,325.47,391.95,358.52,356.77,328.53
337,337.69,333.02,325.6,391.86,357.57,356.42,328.85
337.49,337.69,332.99,325.84,392.19,357.05,356.23,328.36
337.5,337.8,333.42,325.84,391.76,356.53,355.8,328.36
337.25,337.66,333.69,326.01,392.06,356.45,356.04,328.12
337.73,338.26,333.88,326.52,392.25,355.85,356.26,328.25
337.91,338.07,333.2,327.18,391.64,355.37,356.18,328.04
338.18,338.7,333.95,326.72,391.49,354.52,355.99,327.71
338.37,338.1,334.56,326.96,391.44,354.47,355.98,327.61
338.46,338.83,334.56,327.48,391.66,354.06,356.02,327.58
338.15,338.23,334.9,327.61,391.6,353.03,355.91,327.41
337.51,338.51,335.49,327.66,391.15,352.97,355.23,327.36
338.16,338.29,335.46,328.24,391.25,352.37,355.37,327.36
338.42,338.59,335.41,328.59,391.48,351.99,355.56,327.14
338.78,338.67,335.97,328.45,390.97,350.82,354.97,327.42
339.01,339.19,335.38,328.84,390.87,350.58,355.61,327.36
338.8,339.21,336.45,328.75,390.72,349.63,354.99,327.17
338.67,339,336.43,329.3,390.91,349.33,355.23,327.03
338.66,338.59,336.85,329.24,390.75,348.54,355.29,327.31
339.07,339.08,336.75,329.7,390.78,348.16,355.43,326.82
339.48,339.49,337.02,330.02,390.54,347.65,355.42,327.08
338.81,339.35,336.86,329.75,391.09,347.38,355.42,326.9
338.99,339.3,337.74,330.51,390.53,346.29,355.75,326.63
338.64,339.33,337.37,330.17,390.41,345.99,355.17,326.84
338.67,339.19,337.83,330.49,390.28,345.06,355.05,326.76
338.91,339.52,337.82,330.14,390.85,344.98,355.39,326.92
338.78,339.03,337.91,330.38,390.39,344.85,355.21,326.84
339.1,339.41,337.83,330.46,391.14,344.6,355.55,326.71
339.21,339.38,338.72,331.01,390.9,343.4,355.35,326.87
339.32,339.71,338.97,331.01,390.55,343.11,355.26,326.36
339.09,339.24,338.87,331.31,390.88,342.38,355.29,326.98
338.91,339.33,338.78,330.93,390.94,342.11,355.38,326.63
339.07,339.11,339,331.25,391.12,342.21,355.08,326.76
338.62,338.89,338.9,331.57,390.99,341.61,355.73,326.87
338.6,339.65,339.03,331.53,391.45,340.74,355.5,326.68
338.87,338.73,339.22,331.63,390.96,340.14,355.59,327.03
338.97,339.54,339.08,331.96,391.61,339.4,354.83,326.79
338.58,339.25,338.97,331.93,391.89,339.06,355.1,326.6
338.3,339.19,339.38,331.96,391.99,338.29,355.56,326.76
338.33,338.97,339.62,332.62,391.62,338.23,355.77,327.22
338.46,339.14,339.76,332.18,391.46,337.64,355.64,327.14
338.17,338.78,339.22,331.82,391.75,336.88,355.58,326.98
338.19,339.27,339.35,331.58,391.63,336.79,356.31,327.39
338.62,339.21,339.65,331.88,391.6,335.74,355.93,327.41
338.52,339.08,339.56,332.13,391.3,335.27,355.55,327.47
337.82,338.94,339.35,332.12,391.63,334.67,355.84,326.98
338.3,339.19,339.42,331.96,390.96,334.05,355.51,327.14
338.07,338.74,339.41,332.42,390.9,333.78,356.07,327.54
338.03,338.36,339.51,332.29,390.4,333.4,355.77,327.66
338.65,339.12,339.38,332.35,390.9,332.59,356.01,327.31
338.47,338.68,339.24,332.29,390.16,332.04,355.92,327.82
338.66,338.12,339.05,332.64,390.46,331.93,356.2,327.25
338.28,338.63,338.35,332.84,390,331.01,356.06,327.24
338.18,338.33,338.48,332.78,389.41,330.11,355.96,327.52
338.26,338.47,338.23,332.54,389.12,330.3,355.96,327.16
338.34,338.36,338.14,332.62,389.39,329.79,356.06,327.66
337.82,338.33,337.98,332.86,389.17,329.18,356.33,327.03
337.39,337.93,337.82,332.64,388.53,329.19,356.22,326.76
337.9,337.58,337.17,332.7,388.91,328.51,356.33,327.11
338.17,337.48,337.14,332.78,388.35,328.26,356.36,327.41
337.83,337.38,336.71,333.38,388,327.44,355.9,327.03
338.04,337.49,336.24,333.6,388.08,327.71,356.52,327.17
337.66,337.3,336.15,333.35,387.2,327.28,356.22,326.84
338.07,337.19,335.79,333.3,387.19,326.34,356.09,326.95
338.2,337,335.47,333.92,387.31,326.66,356.63,326.46
338.2,336.71,335.23,333.87,387.04,326.09,356.34,327.19
338.23,336.84,334.93,334.36,386.96,325.76,356.12,327.3
338.41,336.46,335.35,334.55,386.72,325.22,355.9,327.09
337.85,336.54,334.94,334.79,386.76,324.38,356.12,327.03
338.42,336.92,334.38,334.68,385.67,324.73,355.5,326.9
338.32,336.18,334.32,335.01,386.1,324.62,356.25,326.63
338.29,336.02,334.27,335.01,386.08,324.05,355.5,326.55
338.18,336.05,334.08,335.31,385.67,323.7,355.15,326.62
338.12,336.34,333.51,335.93,386.13,322.91,355.74,327.14
338.28,335.64,333.06,335.57,385.61,322.83,355.82,326.76
338.15,336.27,332.68,336.2,385.83,322.2,355.47,326.27
338.47,335.86,333.08,336.15,385.72,321.12,355.53,326.25
338.07,335.7,332.94,336.69,385.42,321.66,355.07,326
337.97,335.5,332.54,336.42,385.04,321.39,355.28,326.09
338.37,335.12,332.49,336.31,385.64,321.12,354.79,326.09
338.45,335.24,331.79,337.26,386.1,320.98,355.16,326.19
338.24,335.12,331.74,337.04,385.96,320.74,354.81,325.73
337.97,334.83,331.5,337.4,386.04,320.22,355.32,326.3
338.39,335.08,331.12,337.2,386.36,319.76,354.94,325.87
338.75,334.94,330.78,337.67,386.27,320.09,354.99,325.68
338.34,334.67,330.86,337.58,386.41,319.66,354.78,325.7
338.29,334.5,330.19,337.58,386.35,318.44,354.5,325.62
338.07,334.36,330.16,337.58,386.6,318.21,354.51,324.97
338.24,334.48,329.87,337.32,386.46,318.24,354.43,326.25
338.82,334.42,329.11,337.36,386.81,317.95,354.4,325.65
338.82,334.55,328.51,337.88,386.81,317.89,353.95,325.24
339.1,334.94,329.41,337.42,386.69,317.32,353.6,325.62
338.1,334.2,329.14,337.28,387.03,316.94,353.79,325.02
338.71,334.12,328.35,337.39,387.02,316.97,353.89,325.22
338.69,334.6,328.76,337.74,386.78,316.67,353.78,325.41
339.04,334.31,327.63,337.6,386.98,316.15,354.02,325.51
338.72,334.23,327.87,337.96,387.03,316.64,354.29,325.52
338.58,333.64,328.2,337.03,387.13,315.69,354.07,325.63
338.61,333.66,327.5,337.42,387.24,315.85,353.92,325.49
339.36,333.96,327.18,336.63,386.97,315.26,353.43,325.33
339.03,333.63,327.17,336.71,386.86,315.34,353.78,325
339.22,333.58,326.88,336.79,386.91,315.2,353.48,325.54
339.2,333.5,326.91,336.87,386.46,314.82,353.81,325.16
339.36,333.55,326.79,336.25,386.92,314.41,354.04,325.33
339.49,333.53,326.09,336.49,386.54,314.03,353.72,324.67
339.49,333.58,326.2,336.25,386.24,313.68,353.84,325.19
339.33,333.85,326.47,335.81,385.94,313.6,353.99,325.6
339.68,333.55,326.14,335.48,386.11,312.65,353.66,325.27
339.21,333.28,326.09,335.45,386.24,312.76,354.22,325.1
339.73,333.83,325.93,335.51,385.84,312.19,354.4,325.25
339.49,333.55,326.04,335.15,385.47,312.08,353.81,325.68
340.19,333.3,325.93,334.72,384.71,312.03,353.52,325.9
340.13,333.53,326.03,334.67,384.57,311.29,353.43,325.68
339.47,333.82,325.85,334.23,383.99,310.83,354.08,325.49
339.84,333.87,325.52,333.42,383.99,310.91,353.4,325.71
339.92,333.55,325.76,333.85,383.94,310.69,353.51,325.66
340.35,333.5,326.08,333.85,383.78,310.13,353.67,325.87
340.41,333.44,326.65,333.01,383.21,310.24,353.7,325.98
340.6,334.09,326.09,332.87,383.3,309.91,353.34,326.23
340.53,334.12,326.62,333.01,382.7,309.75,353.86,326.06
340.85,334.09,326.38,333.09,382.19,309.64,353.86,326.55
341.05,333.79,326.68,332.74,382.08,309.48,353.67,326.26
341.1,334.12,326.32,332.03,382.03,308.74,353.76,326.45
341.07,333.95,326.89,332.44,381.28,308.69,353.65,327.2
341.58,333.77,327.05,331.49,381.53,308.45,353.59,326.64
341.12,333.79,326.91,331.57,381.09,307.85,353.64,326.66
341.33,334.42,326.88,331.05,380.69,308.42,353.62,327.23
341.5,334.15,326.86,331.41,380.64,308.43,353.35,326.64
342.05,333.88,326.69,331.27,379.97,307.61,353.4,327.37
341.84,333.74,327.29,331.14,379.95,307.91,353.54,327.29
342.12,333.77,326.94,330.81,379.59,307.48,353.73,327.18
342.39,334.04,327.74,330.54,379.35,307.58,353.68,327.83
342.12,333.98,327.61,330.73,379.45,307.48,353.73,327.43
342.07,333.79,327.12,330.52,379.08,307.06,354.12,328.03
342.24,334.09,327.82,330.68,378.84,307.04,353.76,327.57
342.63,333.9,328.18,330.54,378.64,306.88,353.89,327.65
342.18,333.39,328.15,330.7,378.73,307.23,353.51,328.27
342.23,333.93,328.2,330.3,378.22,306.64,353.16,328.19
342.28,334.12,327.96,330.62,378,306.39,353.56,328.25
343,333.44,328.65,330.79,377.63,306.18,353.54,328.62
342.68,333.88,328.58,330.41,377.42,306.37,353.83,328.7
342.87,333.9,328.12,330.02,377.61,305.99,353.7,329.09
343.3,333.28,328.74,330.46,376.93,306.12,353.24,328.49
342.81,333.44,328.41,330.05,376.72,306.12,353.46,328.63
342.9,333.47,328.71,330.49,376.18,305.96,353.53,329.26
343.52,333.44,328.55,329.97,376.36,305.72,354.07,329.64
343.08,333.88,328.58,330.19,376.2,305.33,353.35,329.11
342.87,333.28,328.93,330.54,375.89,304.71,354.02,329.39
342.9,333.22,328.93,330.44,375.45,304.85,354.31,329.58
342.84,333.33,329.12,330.3,375.47,304.66,354.26,330.18
343.38,332.95,328.95,330.28,375.16,304.22,353.9,330.64
343.3,333.36,329.15,330.06,375.26,303.73,354.42,330.45
343.09,333.12,329.22,329.91,374.83,303.78,354.13,330.15
343.03,333.5,329.41,330.19,374.62,303.38,354.5,330.34
343.2,333.2,329.13,330.68,374.27,303.44,354.69,331.05
343.2,333.17,329.59,330.49,374.03,303.08,354.34,330.91
342.62,333.03,329.22,330.25,373.97,302.78,354.64,330.91
342.93,333.2,328.92,330.19,373.43,302.89,354.56,331.13
343.01,333.26,329.27,330.55,373.22,302.4,354.8,331.16
342.83,333.66,329.46,330.49,373.54,302.48,354.77,331.57
342.68,333.5,329.35,330.85,373,301.99,355.11,331.65
342.9,333.74,329.63,330.77,373.33,302.24,355.01,331.38
342.42,333.17,329.4,330.68,373.33,301.59,354.9,331.81
342.29,333.44,329.59,330.75,372.95,301.75,354.64,331.89
342.24,333.66,329.92,330.58,372.94,301.89,355.2,331.87
342.39,333.39,329.67,330.94,373.02,301.51,355.41,331.82
342.55,333.31,329.43,330.55,372.84,301.4,355.39,332.01
342.15,333.58,329.29,330.67,372.68,301.78,355.26,332.33
342.44,333.83,329.45,330.94,372.46,301.31,355.56,332.38
342.2,333.9,329.67,330.88,372.63,301.39,355.07,332.65
342.41,333.75,329.37,331.07,372.25,301.5,355.01,332.38
341.84,333.82,329.66,330.47,372.13,301.67,354.97,332.65
341.55,333.8,329.43,330.75,372.32,301.58,355.53,332.9
342.24,334.15,329.56,330.51,371.79,302.02,355.42,332.79
342.17,333.96,329.72,330.94,371.57,301.94,355.61,332.87
342.09,333.86,329.86,331.1,371.09,301.77,355.69,332.87
341.54,334.48,329.53,330.88,371.73,301.29,355.47,333.6
341.53,334.29,329.28,331.03,371.68,301.78,355.5,333.63
341.61,334.32,329.85,331,371.27,301.61,355.63,333.28
341.42,334.56,329.85,331.38,371.6,301.67,355.72,334.02
341.8,334.62,330.14,330.72,371.25,301.64,355.66,333.88
341.51,334.61,330.39,331.16,371.05,301.64,355.51,333.41
341.42,334.48,330.25,331.1,370.9,302.16,356,334.01
342.18,334.21,330.51,330.96,371.04,301.97,355.78,333.85
341.5,334.96,330.78,331.35,370.93,301.64,355.97,333.66
341.19,334.97,330.6,331.05,370.43,301.54,355.65,333.96
341.31,335.02,330.68,331,370.75,301.97,355.54,333.63
340.91,335.29,330.71,331.03,370.56,301.13,355.75,333.85
341.8,335.51,330.97,331.21,370.34,301.35,355.8,334.04
341.21,335.32,330.94,330.76,370.22,301.46,356.12,334.5
340.99,334.91,331.16,330.76,370.56,301.21,355.97,333.85
341.29,334.94,331.04,331.24,370.57,301.08,356.27,334.5
341.8,335.43,331.58,330.78,370.05,300.83,355.78,333.89
341.7,335.72,331.58,330.51,370.8,301.38,355.94,334.26
341.62,335.83,332.04,331.16,370.16,301.41,356.03,334.66
341.56,335.4,331.88,330.92,370.02,301.11,356.48,334.18
340.97,335.67,332.77,330.95,369.97,300.97,356.43,334.18
341.32,335.76,332.95,330.7,370.27,301.11,356.25,334.42
341.16,335.75,332.76,330.94,370.47,300.81,356.72,334.59
341.09,335.4,332.92,330.46,370.27,301.03,356.78,334.64
341.29,335.37,333.19,330.59,371.15,301.6,356.8,335.08
340.91,335.78,332.87,330.21,371.04,301.92,356.97,334.91
341.27,335.57,333.21,330.57,371.01,302.06,357.37,335.05
341.24,335.16,333.75,330.67,371.29,301.93,357.48,334.97
341.43,335.12,334.1,330.45,371.66,301.52,357.96,335.08
340.56,335.24,334.48,330.56,371.98,302.28,357.72,335.32
340.59,335.13,334.56,330.89,372.19,301.87,357.64,335.61
340.81,335.27,334.8,330.73,371.95,301.98,358.18,335.51
340.95,334.67,335.14,330.65,372.6,302.06,358.01,335.35
340.8,335.21,335.01,330.78,372.59,302.74,358.06,335.29
340.78,335.29,335.45,330.26,372.79,302.28,358.5,335.54
341.02,335.4,335.85,330.38,372.97,302.14,358.96,335.7
340.63,334.88,336.17,329.99,373.02,302.5,358.85,335.43
340.51,335.1,336.3,330.48,373.13,302.47,359.17,335.27
340.62,335.37,336.7,330.48,373.01,302.55,359.33,334.81
340.46,334.86,336.8,329.99,373.53,303.31,359.41,335.7
340.46,335.56,337.51,330.46,373.2,302.88,359.3,335.51
340.54,335.1,338.22,330.35,373.53,303.34,359.33,335.38
340.43,335.37,337.69,330.7,373.49,303.42,359.46,335.7
340.24,335.23,338.82,330.07,373.71,303.43,359.49,335.3
340.54,335.37,338.74,330.34,373.26,303.31,359.19,335.73
340.65,335.45,338.87,330.35,373.74,303.67,359.52,335.76
340.86,335.31,339.43,330.18,373.2,304.26,359.66,336.47
340.46,334.88,339.84,329.96,373.23,304.21,359.49,336.16
340.51,335.18,340.11,330.51,373.5,304.32,359.81,335.79
340.38,335.37,340.4,330.29,372.91,304.59,360.1,335.87
340.22,335.39,340.26,330.29,372.9,304.7,359.94,335.79
340.92,335.39,341.12,330.13,372.76,304.99,359.64,336.09
340.87,335.28,341.31,329.92,373.2,304.96,359.31,335.9
340.84,335.64,341.31,330.38,371.91,305.32,359.34,335.69
340.67,335.8,341.9,330.29,372.07,305.68,359.56,335.76
340.9,335.23,341.9,330.16,371.83,305.46,359.37,335.18
340.79,335.5,342.87,330.24,372.07,305.48,359.45,335.58
341.4,335.88,342.7,330.29,371.63,305.59,359.29,335.45
341.25,335.01,343.22,329.81,371.89,306.38,359.23,334.96
341.22,335.88,342.94,329.97,371,305.83,358.77,335.37
340.33,335.74,343.7,330.11,370.99,306.43,358.94,334.88
341.03,336.13,343.73,330.46,370.72,306.43,359.73,335.07
340.73,335.8,344.13,329.86,370.35,306.43,359.28,335.32
340.81,335.9,344.32,329.97,370.38,306.65,358.66,334.91
341.29,335.77,344.42,330.27,370.68,306.92,359.19,334.81
340.58,335.47,344.61,329.65,369.66,306.73,358.79,334.54
340.99,335.26,345.23,329.72,369.71,306.57,358.28,334.54
340.83,335.56,345.25,329.83,369.19,306.92,358.58,334.68
