Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
-0.45,0.82,-0.02,0.21,231.2,385.79,-0.33,2.43
-0.41,0.87,-0.02,0.56,230.2,385.69,-0.57,2.02
0.03,1.28,-0.05,0.4,230.07,385.69,-0.09,2.32
-0.59,0.55,-0.45,0.38,229.41,385.9,-0.43,2.3
0.04,1.07,-0.72,0.4,228.79,385.85,-0.7,1.86
-0.21,0.69,-0.09,0.61,227.89,385.91,-0.06,2.3
-0.56,0.71,-0.47,0.02,227.57,385.66,-0.38,2.29
-0.4,0.69,-0.37,0.34,227.19,386.4,-0.46,2.45
-0.78,1.12,-0.69,0.37,226.64,386.81,-0.46,2.27
-0.75,1.06,-0.85,0.37,226.44,386.89,-0.51,2.03
0.14,0.56,-0.6,0.05,226.12,387.04,-0.44,2.13
-0.4,0.91,-1.14,-0.12,225.69,387.59,-0.39,2.52
-0.45,0.6,-0.2,0.27,225.64,387.67,-0.06,2
-0.43,0.83,-0.79,0.56,224.68,387.86,0.07,2
-0.1,1.02,-1.09,0.13,224.72,388.65,-0.49,2.65
-0.32,0.59,-0.58,0.43,224.02,388.92,-0.27,2.22
-0.75,1.26,-0.79,0.18,223.66,389.17,-0.76,1.78
-0.21,0.72,-0.55,0.29,222.88,389.74,-0.57,1.84
0.01,1.1,-0.44,-0.33,222.49,390.29,0.11,2.27
-0.26,0.61,-0.47,-0.06,222.03,390.29,-0.11,2.46
0.28,1.3,-0.76,0.05,221.75,390.78,-0.43,2.38
0.3,1.4,-0.55,0.31,221.77,391.46,-0.33,2.43
0.29,1,-0.73,0.16,221.73,391.27,-0.2,2.24
0.37,0.94,-0.81,0.69,222.07,392.01,-0.16,2.08
0.36,1.4,-0.77,0.4,221.68,392.06,-0.27,2.27
0.22,0.99,-0.49,-0.14,221.7,392.47,-0.25,1.78
0.69,1.06,-0.63,-0.01,221.28,392.28,-0.25,2.35
0.91,0.78,-0.15,-0.04,221.34,393.43,0.05,2.24
0.15,1.05,-0.31,-0.17,222.13,393.67,-0.49,2.49
0.36,1.36,-0.39,0.45,221.74,394.33,-0.27,2.3
