fp1,fp2
372.87,418.15
373.17,418.31
373.21,418.81
373.35,419.05
373.82,419.17
374.2,419.39
374.22,418.97
374.34,419.63
374.67,419.39
375.31,419.11
375.13,419.58
375.02,419.8
375.53,420.3
375.98,419.96
376.04,419.83
376.34,419.88
376.15,419.86
376.9,419.99
376.66,419.44
376.43,419.8
376.43,419.58
376.48,419.72
376.76,419.86
377.02,419.75
377.06,420.16
376.97,419.2
377.24,419.75
377.17,419.39
377.07,419.44
377.18,419.17
377.23,419.28
377.04,419.14
377.12,419.06
377.17,418.7
377.5,419.01
377.09,418.37
376.82,417.96
377.13,418.15
377.4,417.79
376.91,417.8
376.62,417.55
376.69,417.5
376.66,417.5
376.82,416.73
376.92,416.81
377.03,416.76
376.94,416.87
376.52,416.67
376.64,416.15
376.25,416.1
376.35,415.96
376.13,415.57
376.57,415.69
376.44,415.74
376.12,414.56
376.47,414.81
376.1,414.78
376.19,414.51
375.68,414.81
376.07,414.51
375.82,414.21
375.85,414.18
376.34,413.82
375.79,413.94
376.2,413.74
376.33,413.39
376.11,413.55
376.01,413.47
376.37,413.11
376.07,413.12
376.78,413.23
376.77,413.42
376.47,413.34
376.83,413.37
376.69,412.74
376.66,413.45
377.26,413.51
377.11,413.57
377.54,413.57
377.11,413.02
377.3,413.18
377.75,413.68
377.58,413.57
377.67,413.41
377.72,413.46
378.31,412.94
378.57,413.41
378.32,413.36
378.47,413.22
378.28,413.03
378.2,412.92
378.41,412.92
378.76,413.09
378.91,412.73
378.88,413.06
378.83,413.06
379.13,412.49
378.71,412.79
379.55,412.46
378.79,412.52
379.43,412.55
379.37,412.88
379.27,412.39
379.72,412.14
379.94,411.95
379.55,412.08
380.31,412.11
380.29,412.09
380.78,411.76
380.66,411.87
381.01,411.65
381.06,411.84
381.54,411.46
381.1,411.49
381.66,410.64
381.66,411.24
381.89,410.97
381.9,410.94
381.69,410.53
381.63,410.53
381.66,411.06
382.04,410.07
382.27,410.37
382.12,410.1
382.3,409.55
382.98,409.58
382.88,409.11
382.99,409.64
383.34,409.72
